Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bishkek,PM2.5 - Principal,2021-01-01 02:00 AM,2021,01,01,02,269.5,320,Hazardous,288.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 03:00 AM,2021,01,01,03,278.4,329,Hazardous,291.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 04:00 AM,2021,01,01,04,283.5,334,Hazardous,306.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 05:00 AM,2021,01,01,05,288.2,338,Hazardous,299.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 06:00 AM,2021,01,01,06,287.6,338,Hazardous,286.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 07:00 AM,2021,01,01,07,286.2,336,Hazardous,283.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 08:00 AM,2021,01,01,08,282.2,332,Hazardous,273.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 09:00 AM,2021,01,01,09,272.3,323,Hazardous,250.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 10:00 AM,2021,01,01,10,277.5,328,Hazardous,289.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 11:00 AM,2021,01,01,11,300.7,351,Hazardous,354.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 12:00 PM,2021,01,01,12,343.8,393,Hazardous,404.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 01:00 PM,2021,01,01,13,362.7,409,Hazardous,393.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 02:00 PM,2021,01,01,14,343.4,393,Hazardous,312.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 03:00 PM,2021,01,01,15,326.5,376,Hazardous,299.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 04:00 PM,2021,01,01,16,319.8,370,Hazardous,309.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 05:00 PM,2021,01,01,17,284.2,334,Hazardous,236.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 06:00 PM,2021,01,01,18,254.1,305,Hazardous,222.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 07:00 PM,2021,01,01,19,236.2,286,Very Unhealthy,217.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 08:00 PM,2021,01,01,20,234.2,284,Very Unhealthy,232.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 09:00 PM,2021,01,01,21,219.6,269,Very Unhealthy,206.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 10:00 PM,2021,01,01,22,220.3,270,Very Unhealthy,221.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-01 11:00 PM,2021,01,01,23,222.5,272,Very Unhealthy,225.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 12:00 AM,2021,01,02,00,220.4,270,Very Unhealthy,218.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 01:00 AM,2021,01,02,01,214.0,264,Very Unhealthy,200.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 02:00 AM,2021,01,02,02,214.0,264,Very Unhealthy,214.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 03:00 AM,2021,01,02,03,167.9,218,Very Unhealthy,124.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 04:00 AM,2021,01,02,04,88.4,168,Unhealthy,9.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 05:00 AM,2021,01,02,05,55.2,150,Unhealthy for Sensitive Groups,22.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 06:00 AM,2021,01,02,06,197.6,248,Very Unhealthy,340.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 07:00 AM,2021,01,02,07,192.3,242,Very Unhealthy,187.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 08:00 AM,2021,01,02,08,160.6,211,Very Unhealthy,129.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 09:00 AM,2021,01,02,09,147.3,198,Unhealthy,134.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 10:00 AM,2021,01,02,10,148.1,199,Unhealthy,149.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 11:00 AM,2021,01,02,11,165.5,216,Very Unhealthy,183.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 12:00 PM,2021,01,02,12,187.2,237,Very Unhealthy,209.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 01:00 PM,2021,01,02,13,195.6,246,Very Unhealthy,204.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 02:00 PM,2021,01,02,14,241.3,291,Very Unhealthy,287.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 03:00 PM,2021,01,02,15,237.6,287,Very Unhealthy,234.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 04:00 PM,2021,01,02,16,303.3,353,Hazardous,369.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 05:00 PM,2021,01,02,17,488.2,492,Hazardous,673.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 06:00 PM,2021,01,02,18,617.6,577,Hazardous,747.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 07:00 PM,2021,01,02,19,665.4,609,Hazardous,713.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 08:00 PM,2021,01,02,20,626.2,583,Hazardous,587.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 09:00 PM,2021,01,02,21,545.6,530,Hazardous,465.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 10:00 PM,2021,01,02,22,469.8,480,Hazardous,394.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-02 11:00 PM,2021,01,02,23,320.9,371,Hazardous,172.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 12:00 AM,2021,01,03,00,246.4,296,Very Unhealthy,172.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 01:00 AM,2021,01,03,01,211.7,262,Very Unhealthy,177.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 02:00 AM,2021,01,03,02,154.8,205,Very Unhealthy,98.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 03:00 AM,2021,01,03,03,142.9,196,Unhealthy,131.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 04:00 AM,2021,01,03,04,190.9,241,Very Unhealthy,239.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 05:00 AM,2021,01,03,05,207.4,257,Very Unhealthy,224.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 06:00 AM,2021,01,03,06,254.1,305,Hazardous,301.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 07:00 AM,2021,01,03,07,204.0,254,Very Unhealthy,154.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 08:00 AM,2021,01,03,08,133.4,191,Unhealthy,63.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 09:00 AM,2021,01,03,09,97.6,173,Unhealthy,62.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 10:00 AM,2021,01,03,10,72.7,160,Unhealthy,48.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 11:00 AM,2021,01,03,11,53.8,146,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 12:00 PM,2021,01,03,12,45.9,127,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 01:00 PM,2021,01,03,13,148.4,199,Unhealthy,251.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 02:00 PM,2021,01,03,14,389.8,427,Hazardous,631.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 03:00 PM,2021,01,03,15,653.4,601,Hazardous,917.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 04:00 PM,2021,01,03,16,577.2,551,Hazardous,501.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 05:00 PM,2021,01,03,17,649.2,598,Hazardous,721.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 06:00 PM,2021,01,03,18,769.1,677,Hazardous,889.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 07:00 PM,2021,01,03,19,739.6,658,Hazardous,710.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 08:00 PM,2021,01,03,20,602.8,568,Hazardous,466.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 09:00 PM,2021,01,03,21,508.4,505,Hazardous,414.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 10:00 PM,2021,01,03,22,501.2,501,Hazardous,494.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-03 11:00 PM,2021,01,03,23,540.2,526,Hazardous,579.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 12:00 AM,2021,01,04,00,486.6,491,Hazardous,433.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 01:00 AM,2021,01,04,01,488.3,492,Hazardous,490.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 02:00 AM,2021,01,04,02,440.1,460,Hazardous,392.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 03:00 AM,2021,01,04,03,288.9,339,Hazardous,138.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 04:00 AM,2021,01,04,04,280.4,331,Hazardous,272.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 05:00 AM,2021,01,04,05,494.7,496,Hazardous,709.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 06:00 AM,2021,01,04,06,615.3,576,Hazardous,736.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 07:00 AM,2021,01,04,07,511.6,507,Hazardous,408.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 08:00 AM,2021,01,04,08,535.3,523,Hazardous,559.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 09:00 AM,2021,01,04,09,505.1,503,Hazardous,475.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 10:00 AM,2021,01,04,10,475.5,484,Hazardous,446.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 11:00 AM,2021,01,04,11,414.7,443,Hazardous,354.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 12:00 PM,2021,01,04,12,422.8,449,Hazardous,431.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 01:00 PM,2021,01,04,13,535.9,523,Hazardous,649.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 02:00 PM,2021,01,04,14,546.0,530,Hazardous,556.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 03:00 PM,2021,01,04,15,652.0,600,Hazardous,758.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 04:00 PM,2021,01,04,16,561.5,540,Hazardous,471.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 05:00 PM,2021,01,04,17,423.2,449,Hazardous,285.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 06:00 PM,2021,01,04,18,318.5,368,Hazardous,214.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 07:00 PM,2021,01,04,19,259.7,310,Hazardous,201.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 08:00 PM,2021,01,04,20,242.8,292,Very Unhealthy,226.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 09:00 PM,2021,01,04,21,239.8,289,Very Unhealthy,237.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 10:00 PM,2021,01,04,22,230.9,281,Very Unhealthy,222.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-04 11:00 PM,2021,01,04,23,236.9,287,Very Unhealthy,243.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 12:00 AM,2021,01,05,00,272.4,323,Hazardous,308.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 01:00 AM,2021,01,05,01,310.6,361,Hazardous,349.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 02:00 AM,2021,01,05,02,297.8,348,Hazardous,285.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 03:00 AM,2021,01,05,03,266.8,317,Hazardous,236.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 04:00 AM,2021,01,05,04,265.4,316,Hazardous,260.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 05:00 AM,2021,01,05,05,295.8,346,Hazardous,337.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 06:00 AM,2021,01,05,06,327.1,377,Hazardous,364.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 07:00 AM,2021,01,05,07,328.3,378,Hazardous,339.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 08:00 AM,2021,01,05,08,215.7,266,Very Unhealthy,96.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 09:00 AM,2021,01,05,09,184.3,234,Very Unhealthy,153.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 10:00 AM,2021,01,05,10,120.1,184,Unhealthy,56.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 11:00 AM,2021,01,05,11,124.5,187,Unhealthy,129.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 12:00 PM,2021,01,05,12,95.2,171,Unhealthy,66.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 01:00 PM,2021,01,05,13,164.1,214,Very Unhealthy,233.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 02:00 PM,2021,01,05,14,163.0,213,Very Unhealthy,162.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 03:00 PM,2021,01,05,15,165.5,216,Very Unhealthy,168.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 04:00 PM,2021,01,05,16,201.7,252,Very Unhealthy,238.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 05:00 PM,2021,01,05,17,231.3,281,Very Unhealthy,261.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 06:00 PM,2021,01,05,18,324.1,374,Hazardous,417.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 07:00 PM,2021,01,05,19,531.1,520,Hazardous,738.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 08:00 PM,2021,01,05,20,460.6,474,Hazardous,390.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 09:00 PM,2021,01,05,21,379.3,420,Hazardous,298.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 10:00 PM,2021,01,05,22,353.1,403,Hazardous,327.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2021-01-05 11:00 PM,2021,01,05,23,357.1,405,Hazardous,361.0,UG/M3,1 Hr,Valid
