name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bishkek,2020-01-01T00:00:00,-0.2,-0.2,-0.9,94.99,0,0,,0,0,,3.8,125,1025.8,81.2,0.1,0,,0,,Partially cloudy,fog,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2020-01-01T01:00:00,-3,-6,-4,92.81,0,0,,0,0,,7.2,140,,89,1,0,,0,,Partially cloudy,partly-cloudy-night,"UCFM,38353199999"
Bishkek,2020-01-01T02:00:00,-2,-5.9,-3,92.86,0,0,,0,0,,10.8,150,,0,2,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2020-01-01T03:00:00,-0.7,-0.7,-1.8,92.66,0,0,,0,0,,4.3,126,1024.8,26.6,2,0,,0,,Partially cloudy,partly-cloudy-night,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2020-01-01T04:00:00,-1,-3.6,-2,92.92,0,0,,0,0,,7.2,130,,0,3,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2020-01-01T05:00:00,-1,-3.6,-1,100,0,0,,0,0,,7.2,330,,0,3,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2020-01-01T06:00:00,-0.6,-3.1,-4.5,74.93,0,0,,0,0,10.8,7.2,122,1024.9,27.4,3.9,0,,0,,Partially cloudy,partly-cloudy-night,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2020-01-01T07:00:00,-4.5,-9.4,-5.5,92.72,0,0,,0,0,,12.6,90,,0,6.5,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2020-01-01T08:00:00,-2.5,-7,-4,89.46,0,0,,0,0,,12.6,105,,6.1,10,8.5,0,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2020-01-01T09:00:00,-3.4,-6.9,-5.1,88.36,0,0,,10.72,10.72,,8.5,103,1026.6,27.4,19.1,126.1,0.5,1,,Partially cloudy,snow,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2020-01-01T10:00:00,-2,-4.8,-3,92.86,0,0,,0,10.72,,7.2,80,,0,6.5,275.9,1,3,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2020-01-01T11:00:00,-0.5,-2.3,-1.5,92.95,0,0,,0,10.72,,5.4,100,,0,7,391.5,1.4,4,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2020-01-01T12:00:00,3.5,3.5,-2,67.65,0,0,,0,10.72,7.2,4,285,1024.1,36.4,18.7,457.3,1.6,5,,Partially cloudy,partly-cloudy-day,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2020-01-01T13:00:00,1,-0.6,-0.5,89.68,0,0,,0,10.72,,5.4,300,,0,5,460.5,1.7,5,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2020-01-01T14:00:00,1.5,1.5,0,89.78,0,0,,0,10.72,,3.6,198,,0,4,403.6,1.5,4,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2020-01-01T15:00:00,6.3,6.3,-1.9,56.09,0,0,,0,10.72,,4.6,296,1021.3,27.5,18.1,293.8,1.1,3,,Partially cloudy,partly-cloudy-day,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2020-01-01T16:00:00,0.5,-1.9,-2.5,80.36,0,0,,0,10.72,,7.2,35,,0,4,144.5,0.5,1,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2020-01-01T17:00:00,0,0,-3.5,77.27,0,0,,0,10.72,,3.6,20,,0,5,14.1,0.1,0,,Clear,clear-day,"UCFM,38353199999"
Bishkek,2020-01-01T18:00:00,1.6,0.2,-1.4,80.44,0,0,,0,10.72,0,5.2,82,1023.5,0,17.8,0,,0,,Clear,clear-night,"38353099999,UCFM,36911099999,38353199999,38229099999"
Bishkek,2020-01-01T19:00:00,-3,-6,-4,92.81,0,0,,0,10.72,,7.2,135,,0,3.5,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2020-01-01T20:00:00,-4.5,-6.9,-5,96.26,0,0,,0,10.72,,5.4,70,,0,1.5,0,,0,,Clear,clear-night,"UCFM,38353199999"
Bishkek,2020-01-01T21:00:00,-1.5,-1.5,-3.8,84.17,0,0,,0,10.72,,3.8,161,1024.3,30,0.1,0,,0,,Partially cloudy,fog,"38353099999,UCFM,36911099999,38353199999,38229099999"
