Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Bishkek,PM2.5 - Principal,2019-02-06 06:00 AM,2019,02,06,06,-999.0,-999,N/A,12.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 07:00 AM,2019,02,06,07,17.0,61,Moderate,20.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 08:00 AM,2019,02,06,08,19.1,66,Moderate,21.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 09:00 AM,2019,02,06,09,22.4,73,Moderate,25.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 10:00 AM,2019,02,06,10,30.9,91,Moderate,39.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 11:00 AM,2019,02,06,11,35.0,99,Moderate,39.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 12:00 PM,2019,02,06,12,36.5,103,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 01:00 PM,2019,02,06,13,45.3,125,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 02:00 PM,2019,02,06,14,51.1,139,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 03:00 PM,2019,02,06,15,46.5,128,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 04:00 PM,2019,02,06,16,39.7,111,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Bishkek,PM2.5 - Principal,2019-02-06 05:00 PM,2019,02,06,17,39.3,110,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
